Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
doesnt shit,4.000000,0.000288,0.002345,4.402468
doesnt mean,5.000000,0.000359,0.002851,5.621415
wow need,3.000000,0.000216,0.001821,4.013990
wow u,3.000000,0.000216,0.001821,3.895472
wow y,3.000000,0.000216,0.001821,4.612430
blink sending,3.000000,0.000216,0.001821,9.276393
need love,3.000000,0.000216,0.001821,2.407455
need make,3.000000,0.000216,0.001821,3.250885
need just,3.000000,0.000216,0.001821,1.824850
need know,7.000000,0.000503,0.003822,3.515665
need better,4.000000,0.000288,0.002345,3.817280
need trailer,5.000000,0.000359,0.002851,3.721970
need stop,3.000000,0.000216,0.001821,4.058442
need life,3.000000,0.000216,0.001821,3.264490
need starwars,5.000000,0.000359,0.002851,4.389475
need watch,5.000000,0.000359,0.002851,4.194574
need star,4.000000,0.000288,0.002345,3.699497
need friends,4.000000,0.000288,0.002345,4.191974
need place,4.000000,0.000288,0.002345,4.822207
better love,3.000000,0.000216,0.001821,2.706236
better just,3.000000,0.000216,0.001821,2.123631
better know,3.000000,0.000216,0.001821,2.967148
better people,4.000000,0.000288,0.002345,3.418460
better person,3.000000,0.000216,0.001821,4.909292
e ny,3.000000,0.000216,0.001821,4.726618
e s,5.000000,0.000359,0.002851,6.616133
e o,5.000000,0.000359,0.002851,6.374971
e t,3.000000,0.000216,0.001821,6.557293
e st,5.000000,0.000359,0.002851,6.711443
e nyctbus,4.000000,0.000288,0.002345,8.503203
metropolitan art,3.000000,0.000216,0.001821,6.773137
metropolitan area,8.000000,0.000575,0.004291,8.830106
metropolitan museum,3.000000,0.000216,0.001821,7.992377
throw strikes,3.000000,0.000216,0.001821,8.295563
oh like,3.000000,0.000216,0.001821,2.440511
oh man,3.000000,0.000216,0.001821,4.020152
oh just,4.000000,0.000288,0.002345,2.575935
oh know,4.000000,0.000288,0.002345,3.419452
oh wait,3.000000,0.000216,0.001821,4.234163
oh look,3.000000,0.000216,0.001821,4.178900
oh did,3.000000,0.000216,0.001821,3.575701
